city,date,temperature_max,temperature_min,precipitation_sum,precipitation_probability_max,wind_speed_max,wind_gusts_max,weather_code
Al Hoceïma,2026-09-21,28.6,20.4,0.0,0,24.5,43.9,2
Al Hoceïma,2026-09-22,26.7,17.4,0.0,0,14.2,25.6,3
Qasbat Tadla,2026-09-20,37.8,21.9,0.0,3,19.1,34.2,2
Qasbat Tadla,2026-09-21,37.6,20.4,0.0,3,15.6,28.4,2
Qasbat Tadla,2026-09-22,36.2,19.4,0.0,0,10.2,19.8,2
Aziylal,2026-09-20,29.0,19.2,0.1,13,18.1,40.3,3
Aziylal,2026-09-21,27.8,18.7,0.8,5,19.1,42.8,80
Aziylal,2026-09-22,28.0,17.2,0.0,0,17.9,38.2,2
Boujad,2026-09-20,36.0,21.9,0.0,0,25.5,46.4,2
Boujad,2026-09-21,35.4,22.1,0.0,3,17.4,36.0,2
Boujad,2026-09-22,34.4,20.0,0.0,0,15.5,27.4,2
Al Aaroui,2026-09-20,26.3,21.7,0.0,3,28.3,49.7,3
Al Aaroui,2026-09-21,26.3,20.1,0.0,0,24.2,42.1,3
Al Aaroui,2026-09-22,26.8,17.1,0.0,0,20.4,35.3,45
Mrirt,2026-09-20,33.1,17.6,0.0,0,17.3,36.7,3
Mrirt,2026-09-21,32.2,18.3,0.0,0,22.7,50.4,3
Mrirt,2026-09-22,31.5,16.5,0.0,0,20.8,44.3,1
Tineghir,2026-09-20,27.0,17.4,0.1,15,12.0,19.1,3
Tineghir,2026-09-21,27.3,18.4,0.3,25,30.4,47.2,80
Tineghir,2026-09-22,29.6,17.8,0.0,0,22.3,34.6,2
Bouknadel,2026-09-20,31.4,20.4,0.0,0,10.6,20.5,1
Bouknadel,2026-09-21,30.2,20.7,0.0,0,12.3,21.2,2
Bouknadel,2026-09-22,28.7,20.1,0.0,0,11.2,20.5,45
Cabo Bojador,2026-09-20,27.5,19.5,0.0,0,26.5,48.2,0
Cabo Bojador,2026-09-21,27.3,20.7,0.0,2,27.0,47.2,3
Cabo Bojador,2026-09-22,26.6,20.8,0.0,1,25.6,46.4,3
Zagora,2026-09-20,33.5,23.8,0.0,3,13.7,28.8,3
Zagora,2026-09-21,32.9,23.5,0.5,23,16.3,30.6,80
Zagora,2026-09-22,34.7,24.1,0.0,0,10.2,19.1,2
Azemmour,2026-09-20,28.7,19.1,0.0,0,12.7,23.4,45
Azemmour,2026-09-21,30.7,20.4,0.0,0,14.2,26.3,45
Azemmour,2026-09-22,29.4,18.3,0.0,0,15.2,27.7,45
El Hajeb,2026-09-20,32.1,21.1,0.0,0,20.3,45.0,3
El Hajeb,2026-09-21,32.4,21.9,0.0,0,22.8,47.9,2
El Hajeb,2026-09-22,30.8,20.9,0.0,0,20.0,42.5,1
Jerada,2026-09-20,28.4,16.5,0.1,30,18.4,43.6,3
Jerada,2026-09-21,27.5,17.0,0.0,0,22.3,48.6,3
Jerada,2026-09-22,27.1,15.3,0.0,0,17.6,38.9,3
El Aïoun,2026-09-20,30.9,17.9,0.0,3,20.9,34.2,45
El Aïoun,2026-09-21,29.9,18.7,0.0,0,18.9,31.7,45
El Aïoun,2026-09-22,29.1,14.5,0.0,0,14.1,23.8,45
Tameslouht,2026-09-20,36.7,23.8,0.2,8,21.3,33.5,3
Tameslouht,2026-09-21,37.2,24.7,0.0,0,24.4,39.6,3
Tameslouht,2026-09-22,36.8,22.4,0.0,0,17.9,28.8,0
Sidi Yahia El Gharb,2026-09-20,39.1,22.0,0.0,0,17.6,31.3,1
Sidi Yahia El Gharb,2026-09-21,36.6,20.4,0.0,0,16.0,29.2,2
Sidi Yahia El Gharb,2026-09-22,35.1,18.7,0.0,0,14.8,27.0,3
Chichaoua,2026-09-20,37.1,23.2,0.0,3,28.9,48.2,3
Chichaoua,2026-09-21,37.9,22.9,0.0,0,26.5,43.2,3
Chichaoua,2026-09-22,37.9,20.9,0.0,0,22.3,37.1,0
Al ’Attawia,2026-09-20,36.0,22.3,0.1,10,15.0,31.3,3
Al ’Attawia,2026-09-21,35.7,22.4,0.0,3,16.4,29.9,3
Al ’Attawia,2026-09-22,35.2,20.3,0.0,0,16.5,29.9,1
Tabount,2026-09-20,29.8,19.1,0.3,15,10.7,22.3,61
Tabount,2026-09-21,29.3,20.1,1.4,25,15.9,31.7,80
Tabount,2026-09-22,32.9,17.0,0.0,0,29.3,51.1,1
